Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
27/ 03/ 2017,14650.00,57500.00,122500.00,19500.00,26750.00,35000.00,21350.00,37750.00,13900.00,15100.00
28/ 03/ 2017,10450.00,32150.00,125650.00,18850.00,29500.00,37150.00,22400.00,48300.00,13550.00,14700.00
29/ 03/ 2017,10450.00,32150.00,125650.00,18850.00,29500.00,37150.00,22400.00,48300.00,13550.00,14700.00
30/ 03/ 2017,11750.00,30300.00,114700.00,20450.00,33850.00,38600.00,31250.00,57900.00,13800.00,16150.00
31/ 03/ 2017,11700.00,27500.00,117100.00,19650.00,26550.00,32000.00,23800.00,47600.00,13700.00,14550.00
03/ 04/ 2017,11600.00,29050.00,114150.00,19550.00,32650.00,37700.00,29000.00,50250.00,13700.00,14400.00
04/ 04/ 2017,11100.00,30000.00,117450.00,19550.00,32550.00,37750.00,26550.00,49050.00,13600.00,14650.00
05/ 04/ 2017,11350.00,30050.00,116750.00,19900.00,32350.00,38100.00,27100.00,47600.00,14000.00,14850.00
06/ 04/ 2017,11350.00,30050.00,117650.00,19650.00,31400.00,37450.00,25900.00,46300.00,13450.00,14450.00
07/ 04/ 2017,11350.00,30050.00,117800.00,19800.00,31000.00,37150.00,26950.00,47300.00,13550.00,14450.00
10/ 04/ 2017,11450.00,29600.00,115150.00,19850.00,32850.00,38900.00,30500.00,48750.00,14150.00,14950.00
11/ 04/ 2017,11350.00,29550.00,115450.00,20400.00,32750.00,38750.00,31650.00,49550.00,13950.00,14850.00
12/ 04/ 2017,11550.00,30100.00,116600.00,20550.00,32950.00,39300.00,31700.00,48200.00,13950.00,14850.00
13/ 04/ 2017,11550.00,30000.00,116650.00,20650.00,32700.00,39650.00,31450.00,48900.00,13950.00,14850.00
14/ 04/ 2017,11500.00,35500.00,121300.00,18300.00,30650.00,40850.00,25650.00,44550.00,13350.00,14450.00
17/ 04/ 2017,11350.00,29500.00,115800.00,20100.00,32350.00,40300.00,28350.00,44650.00,13900.00,14700.00
18/ 04/ 2017,11200.00,29000.00,114100.00,19850.00,31700.00,40100.00,28850.00,44350.00,13850.00,14750.00
19/ 04/ 2017,11350.00,29800.00,114550.00,20150.00,31850.00,40550.00,29700.00,43550.00,13850.00,14750.00
20/ 04/ 2017,11350.00,29800.00,115800.00,20300.00,31650.00,41000.00,29550.00,43700.00,13850.00,14700.00
21/ 04/ 2017,11350.00,29700.00,115250.00,20100.00,31400.00,41050.00,29150.00,43850.00,13850.00,14700.00
24/ 04/ 2017,9550.00,30500.00,115100.00,18400.00,30650.00,50150.00,22750.00,44700.00,13300.00,14500.00
25/ 04/ 2017,11300.00,29900.00,115450.00,21300.00,31650.00,44900.00,29500.00,42850.00,13800.00,14650.00
26/ 04/ 2017,11300.00,29650.00,116050.00,20800.00,31900.00,46050.00,30000.00,43600.00,13800.00,14600.00
